ensembl_gene_id,external_gene_name,mmusculus_homolog_ensembl_gene,mmusculus_homolog_associated_gene_name,mmusculus_homolog_orthology_type,mmusculus_homolog_orthology_confidence
ENSG00000085563,ABCB1,ENSMUSG00000028970,Abcb1b,ortholog_one2many,1
ENSG00000107282,APBA1,ENSMUSG00000024897,Apba1,ortholog_one2one,1
ENSG00000182287,AP1S2,ENSMUSG00000031367,Ap1s2,ortholog_one2one,1
ENSG00000135439,AGAP2,ENSMUSG00000025422,Agap2,ortholog_one2one,1
ENSG00000161618,ALDH16A1,ENSMUSG00000007833,Aldh16a1,ortholog_one2one,1
ENSG00000149925,ALDOA,ENSMUSG00000059343,Aldoart1,ortholog_one2many,0
ENSG00000149925,ALDOA,ENSMUSG00000030695,Aldoa,ortholog_one2many,1
ENSG00000149925,ALDOA,ENSMUSG00000063129,Aldoart2,ortholog_one2many,0
ENSG00000135503,ACVR1B,ENSMUSG00000000532,Acvr1b,ortholog_one2one,1
ENSG00000138443,ABI2,ENSMUSG00000026782,Abi2,ortholog_one2one,1
ENSG00000135049,AGTPBP1,ENSMUSG00000021557,Agtpbp1,ortholog_one2one,1
ENSG00000100478,AP4S1,ENSMUSG00000020955,Ap4s1,ortholog_one2one,0
ENSG00000118520,ARG1,ENSMUSG00000019987,Arg1,ortholog_one2one,1
ENSG00000111275,ALDH2,ENSMUSG00000029455,Aldh2,ortholog_one2one,1
ENSG00000239900,ADSL,ENSMUSG00000022407,Adsl,ortholog_one2one,1
ENSG00000153107,ANAPC1,ENSMUSG00000014355,Anapc1,ortholog_one2one,1
ENSG00000122729,ACO1,ENSMUSG00000028405,Aco1,ortholog_one2one,1
ENSG00000197894,ADH5,ENSMUSG00000028138,Adh5,ortholog_one2one,1
ENSG00000136044,APPL2,ENSMUSG00000020263,Appl2,ortholog_one2one,1
ENSG00000100124,ANKRD54,ENSMUSG00000033055,Ankrd54,ortholog_one2one,1
ENSG00000165527,ARF6,ENSMUSG00000044147,Arf6,ortholog_one2one,1
ENSG00000151498,ACAD8,ENSMUSG00000031969,Acad8,ortholog_one2one,1
ENSG00000196510,ANAPC7,ENSMUSG00000029466,Anapc7,ortholog_one2one,1
ENSG00000185100,ADSS1,ENSMUSG00000011148,Adss1,ortholog_one2one,1
ENSG00000114779,ABHD14B,ENSMUSG00000042073,Abhd14b,ortholog_one2one,1
ENSG00000021776,AQR,ENSMUSG00000040383,Aqr,ortholog_one2one,1
ENSG00000034053,APBA2,ENSMUSG00000030519,Apba2,ortholog_one2one,1
ENSG00000164162,ANAPC10,ENSMUSG00000036977,Anapc10,ortholog_one2one,1
ENSG00000170776,AKAP13,ENSMUSG00000066406,Akap13,ortholog_one2one,1
ENSG00000103222,ABCC1,ENSMUSG00000023088,Abcc1,ortholog_one2one,1
ENSG00000006071,ABCC8,ENSMUSG00000040136,Abcc8,ortholog_one2one,1
ENSG00000140798,ABCC12,ENSMUSG00000036872,Abcc12,ortholog_one2one,1
ENSG00000146416,AIG1,ENSMUSG00000019806,Aig1,ortholog_one2one,1
ENSG00000159640,ACE,ENSMUSG00000020681,Ace,ortholog_one2one,1
ENSG00000163995,ABLIM2,ENSMUSG00000029095,Ablim2,ortholog_one2one,1
ENSG00000157426,AASDH,ENSMUSG00000055923,Aasdh,ortholog_one2one,1
ENSG00000078061,ARAF,ENSMUSG00000001127,Araf,ortholog_one2one,1
ENSG00000147576,ADHFE1,ENSMUSG00000025911,Adhfe1,ortholog_one2one,1
ENSG00000155008,APOOL,ENSMUSG00000025525,Apool,ortholog_one2one,1
ENSG00000147853,AK3,ENSMUSG00000024782,Ak3,ortholog_one2one,1
ENSG00000242110,AMACR,ENSMUSG00000022244,Amacr,ortholog_one2one,1
ENSG00000164398,ACSL6,ENSMUSG00000020333,Acsl6,ortholog_one2one,1
ENSG00000145362,ANK2,ENSMUSG00000032826,Ank2,ortholog_one2one,1
ENSG00000176715,ACSF3,ENSMUSG00000015016,Acsf3,ortholog_one2one,1
ENSG00000179477,ALOX12B,ENSMUSG00000032807,Alox12b,ortholog_one2one,1
ENSG00000115266,APC2,ENSMUSG00000020135,Apc2,ortholog_one2one,1
ENSG00000159251,ACTC1,ENSMUSG00000068614,Actc1,ortholog_one2one,1
ENSG00000108599,AKAP10,ENSMUSG00000047804,Akap10,ortholog_one2one,1
ENSG00000107890,ANKRD26,,,,NA
ENSG00000138107,ACTR1A,ENSMUSG00000025228,Actr1a,ortholog_one2one,1
ENSG00000119682,AREL1,ENSMUSG00000042350,Arel1,ortholog_one2one,1
ENSG00000126016,AMOT,ENSMUSG00000041688,Amot,ortholog_one2one,1
ENSG00000161533,ACOX1,ENSMUSG00000020777,Acox1,ortholog_one2one,1
ENSG00000033011,ALG1,ENSMUSG00000039427,Alg1,ortholog_one2many,1
ENSG00000204574,ABCF1,ENSMUSG00000038762,Abcf1,ortholog_one2one,1
ENSG00000101199,ARFGAP1,ENSMUSG00000027575,Arfgap1,ortholog_one2one,1
ENSG00000135298,ADGRB3,ENSMUSG00000033569,Adgrb3,ortholog_one2one,1
ENSG00000170209,ANKK1,ENSMUSG00000032257,Ankk1,ortholog_one2one,1
ENSG00000166313,APBB1,ENSMUSG00000037032,Apbb1,ortholog_one2one,1
ENSG00000134461,ANKRD16,ENSMUSG00000047909,Ankrd16,ortholog_one2one,1
ENSG00000077420,APBB1IP,ENSMUSG00000026786,Apbb1ip,ortholog_one2one,1
ENSG00000131966,ACTR10,ENSMUSG00000021076,Actr10,ortholog_one2one,1
ENSG00000131473,ACLY,ENSMUSG00000020917,Acly,ortholog_one2one,1
ENSG00000167972,ABCA3,ENSMUSG00000024130,Abca3,ortholog_one2one,1
ENSG00000053770,AP5M1,ENSMUSG00000036291,Ap5m1,ortholog_one2one,1
ENSG00000101474,APMAP,ENSMUSG00000033096,Apmap,ortholog_one2one,1
ENSG00000070718,AP3M2,ENSMUSG00000031539,Ap3m2,ortholog_one2one,1
ENSG00000101442,ACTR5,ENSMUSG00000037761,Actr5,ortholog_one2one,1
ENSG00000073670,ADAM11,ENSMUSG00000020926,Adam11,ortholog_one2one,1
ENSG00000090861,AARS1,ENSMUSG00000031960,Aars1,ortholog_one2one,1
ENSG00000085231,AK6,,,,NA
ENSG00000134982,APC,ENSMUSG00000005871,Apc,ortholog_one2one,1
ENSG00000163631,ALB,ENSMUSG00000029368,Alb,ortholog_one2one,1
ENSG00000108846,ABCC3,ENSMUSG00000020865,Abcc3,ortholog_one2one,1
ENSG00000100591,AHSA1,ENSMUSG00000021037,Ahsa1,ortholog_one2one,1
ENSG00000240303,ACAD11,ENSMUSG00000090150,Acad11,ortholog_one2one,1
ENSG00000131503,ANKHD1,ENSMUSG00000024483,Ankhd1,ortholog_one2one,1
ENSG00000157500,APPL1,ENSMUSG00000040760,Appl1,ortholog_one2one,1
ENSG00000101246,ARFRP1,ENSMUSG00000038671,Arfrp1,ortholog_one2one,1
ENSG00000020181,ADGRA2,ENSMUSG00000031486,Adgra2,ortholog_one2one,1
ENSG00000162066,AMDHD2,ENSMUSG00000036820,Amdhd2,ortholog_one2one,1
ENSG00000064999,ANKS1A,ENSMUSG00000024219,Anks1,ortholog_one2one,1
ENSG00000068366,ACSL4,ENSMUSG00000031278,Acsl4,ortholog_one2one,1
ENSG00000120437,ACAT2,ENSMUSG00000062480,Acat3,ortholog_one2many,1
ENSG00000120437,ACAT2,ENSMUSG00000023832,Acat2,ortholog_one2many,1
ENSG00000178171,AMER3,ENSMUSG00000045174,Amer3,ortholog_one2one,1
ENSG00000196526,AFAP1,ENSMUSG00000029094,Afap1,ortholog_one2one,1
ENSG00000139645,ANKRD52,ENSMUSG00000014498,Ankrd52,ortholog_one2one,1
ENSG00000164742,ADCY1,ENSMUSG00000020431,Adcy1,ortholog_one2one,1
ENSG00000197142,ACSL5,ENSMUSG00000024981,Acsl5,ortholog_one2one,1
ENSG00000123130,ACOT9,ENSMUSG00000047565,Acot10,ortholog_one2many,0
ENSG00000123130,ACOT9,ENSMUSG00000025287,Acot9,ortholog_one2many,1
ENSG00000115073,ACTR1B,ENSMUSG00000037351,Actr1b,ortholog_one2one,1
ENSG00000004059,ARF5,ENSMUSG00000020440,Arf5,ortholog_one2one,1
ENSG00000106305,AIMP2,ENSMUSG00000029610,Aimp2,ortholog_one2one,1
ENSG00000157766,ACAN,ENSMUSG00000030607,Acan,ortholog_one2one,1
ENSG00000011132,APBA3,ENSMUSG00000004931,Apba3,ortholog_one2one,1
ENSG00000140750,ARHGAP17,ENSMUSG00000030766,Arhgap17,ortholog_one2one,1
ENSG00000101986,ABCD1,ENSMUSG00000031378,Abcd1,ortholog_one2one,1
ENSG00000177646,ACAD9,ENSMUSG00000027710,Acad9,ortholog_one2one,1
ENSG00000168306,ACOX2,ENSMUSG00000021751,Acox2,ortholog_one2one,1
ENSG00000182718,ANXA2,ENSMUSG00000032231,Anxa2,ortholog_one2one,1
ENSG00000179841,AKAP5,ENSMUSG00000021057,Akap5,ortholog_one2one,0
ENSG00000176244,ACBD7,ENSMUSG00000026644,Acbd7,ortholog_one2one,1
ENSG00000075089,ACTR6,ENSMUSG00000019948,Actr6,ortholog_one2one,1
ENSG00000183020,AP2A2,ENSMUSG00000002957,Ap2a2,ortholog_one2one,1
ENSG00000087274,ADD1,ENSMUSG00000029106,Add1,ortholog_one2one,1
ENSG00000110244,APOA4,ENSMUSG00000032080,Apoa4,ortholog_one2one,1
ENSG00000119640,ACYP1,,,,NA
ENSG00000118137,APOA1,ENSMUSG00000032083,Apoa1,ortholog_one2one,1
ENSG00000130377,ACSBG2,ENSMUSG00000024207,Acsbg2,ortholog_one2one,1
ENSG00000122359,ANXA11,ENSMUSG00000021866,Anxa11,ortholog_one2one,1
ENSG00000112294,ALDH5A1,ENSMUSG00000035936,Aldh5a1,ortholog_one2one,1
ENSG00000011201,ANOS1,,,,NA
ENSG00000165138,ANKS6,ENSMUSG00000066191,Anks6,ortholog_one2one,1
ENSG00000180071,ANKRD18A,,,,NA
ENSG00000167107,ACSF2,ENSMUSG00000076435,Acsf2,ortholog_one2one,1
ENSG00000119688,ABCD4,ENSMUSG00000021240,Abcd4,ortholog_one2one,1
ENSG00000187134,AKR1C1,,,,NA
ENSG00000003393,ALS2,ENSMUSG00000026024,Als2,ortholog_one2one,1
ENSG00000121057,AKAP1,ENSMUSG00000018428,Akap1,ortholog_one2one,1
ENSG00000139567,ACVRL1,ENSMUSG00000000530,Acvrl1,ortholog_one2one,1
ENSG00000106524,ANKMY2,ENSMUSG00000036188,Ankmy2,ortholog_one2one,1
ENSG00000204673,AKT1S1,ENSMUSG00000011096,Akt1s1,ortholog_one2one,1
ENSG00000170017,ALCAM,ENSMUSG00000022636,Alcam,ortholog_one2one,1
ENSG00000110711,AIP,ENSMUSG00000024847,Aip,ortholog_one2one,1
ENSG00000100813,ACIN1,ENSMUSG00000022185,Acin1,ortholog_one2one,1
ENSG00000072818,ACAP1,ENSMUSG00000001588,Acap1,ortholog_one2one,1
ENSG00000170214,ADRA1B,ENSMUSG00000050541,Adra1b,ortholog_one2one,1
ENSG00000196139,AKR1C3,,,,NA
ENSG00000107362,ABHD17B,ENSMUSG00000047368,Abhd17b,ortholog_one2one,1
ENSG00000136938,ANP32B,ENSMUSG00000028333,Anp32b,ortholog_one2many,1
ENSG00000136938,ANP32B,ENSMUSG00000028584,Lrrc38,ortholog_one2many,0
ENSG00000008277,ADAM22,ENSMUSG00000040537,Adam22,ortholog_one2one,1
ENSG00000121410,A1BG,ENSMUSG00000022347,A1bg,ortholog_one2one,0
ENSG00000173744,AGFG1,ENSMUSG00000026159,Agfg1,ortholog_one2one,1
ENSG00000189058,APOD,ENSMUSG00000022548,Apod,ortholog_one2one,1
ENSG00000123612,ACVR1C,ENSMUSG00000026834,Acvr1c,ortholog_one2one,1
ENSG00000122971,ACADS,ENSMUSG00000029545,Acads,ortholog_one2one,1
ENSG00000154262,ABCA6,ENSMUSG00000044749,Abca6,ortholog_one2one,1
ENSG00000221838,AP4M1,ENSMUSG00000019518,Ap4m1,ortholog_one2one,1
ENSG00000042286,AIFM2,ENSMUSG00000020085,Aifm2,ortholog_one2one,1
ENSG00000081014,AP4E1,ENSMUSG00000001998,Ap4e1,ortholog_one2one,1
ENSG00000026652,AGPAT4,ENSMUSG00000023827,Agpat4,ortholog_one2one,1
ENSG00000120318,ARAP3,ENSMUSG00000024451,Arap3,ortholog_one2one,1
ENSG00000126878,AIF1L,ENSMUSG00000001864,Aif1l,ortholog_one2one,1
ENSG00000112379,ARFGEF3,ENSMUSG00000019852,Arfgef3,ortholog_one2one,1
ENSG00000066777,ARFGEF1,ENSMUSG00000067851,Arfgef1,ortholog_one2one,1
ENSG00000181790,ADGRB1,ENSMUSG00000034730,Adgrb1,ortholog_one2one,1
ENSG00000122787,AKR1D1,ENSMUSG00000038641,Akr1d1,ortholog_one2one,1
ENSG00000177465,ACOT4,ENSMUSG00000052392,Acot4,ortholog_one2one,1
ENSG00000119711,ALDH6A1,ENSMUSG00000021238,Aldh6a1,ortholog_one2one,1
ENSG00000062725,APPBP2,ENSMUSG00000018481,Appbp2,ortholog_one2one,1
ENSG00000186635,ARAP1,ENSMUSG00000032812,Arap1,ortholog_one2one,1
ENSG00000106351,AGFG2,ENSMUSG00000029722,Agfg2,ortholog_one2one,1
ENSG00000168615,ADAM9,ENSMUSG00000031555,Adam9,ortholog_one2one,1
ENSG00000173210,ABLIM3,ENSMUSG00000032735,Ablim3,ortholog_one2one,1
ENSG00000154122,ANKH,ENSMUSG00000022265,Ank,ortholog_one2one,1
ENSG00000239382,ALKBH6,ENSMUSG00000042831,Alkbh6,ortholog_one2one,1
ENSG00000078053,AMPH,ENSMUSG00000021314,Amph,ortholog_one2one,1
ENSG00000150967,ABCB9,ENSMUSG00000029408,Abcb9,ortholog_one2one,1
ENSG00000166971,AKTIP,ENSMUSG00000031667,Aktip,ortholog_one2one,1
ENSG00000042753,AP2S1,ENSMUSG00000008036,Ap2s1,ortholog_one2one,1
ENSG00000053900,ANAPC4,ENSMUSG00000029176,Anapc4,ortholog_one2one,1
ENSG00000138613,APH1B,ENSMUSG00000053040,Aph1c,ortholog_one2many,1
ENSG00000138613,APH1B,ENSMUSG00000032375,Aph1b,ortholog_one2many,1
